id,bid,正文,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4191269540811874,FCikW3pcK,【#2018年来啦# 看日出 为新年祈福！】日照，“日出初光先照“，也被称为“东方太阳城”，日照海上日出非常有名。2018新年第一天，超过1万名游客聚集在黄海之滨，共同迎接新年的第一缕阳光。跟#央视新闻微直播#一起看日出，许个美好的心愿吧！（央视记者窦效磊） 央视新闻的微博直播 . ,,,,2018-01-01,微博网页版,5589,909,535,"2018年来啦,央视新闻微直播",
4191267481534874,FCihC6ri2,【见证荣光！解放军执行天安门升旗】1月1日早上7时36分，天安门广场迎来新年首个升旗仪式。这次升旗的一个巨大变化，就是第一次由中国人民解放军仪仗队完成整个升旗仪式。来自首都北京的数万名各界群众自发前往天安门广场，等候即将举行的升国旗仪式。看直播，一同见证历史时刻！ 央视新闻的微博直播 ,,,,2018-01-01,微博网页版,242510,20792,23809,,
4191259922311279,FCi5q9HgH,【2018第一天 与你一同见证祖国的新年此刻】从林海雪原到海上日出，从沸腾城市到美丽乡村，从戍边哨所到巡逻海警……2018年第一天，央视新闻新媒体邀你赏祖国各地的新年第一缕阳光，快来看！ 央视新闻的微博直播 . ,,,,2018-01-01,微博网页版,5807,972,525,,
4191255124365036,FChXGijxO,【早啊！新闻来了〔2018.01.01〕】①国家主席习近平发表2018年新年贺词 ②公安部：严禁在建筑内公共区域停放电动车 ③国务院：全面停止商业性象牙加工销售活动 ④港珠澳大桥主体工程全线亮灯 ⑤境外取现一年不能超过10万… 更多↓↓ 早啊！新闻来了〔2018.01.01〕 ,,,,2018-01-01,微博 weibo.com,2008,196,347,,
4191170186068519,FCfKGpsHl,【2018年第一天！此刻，为自己发条微博吧！】2018年，365天，现在，交给你了！好好对待他们每一个吧！拜托啦！ ,https://wx1.sinaimg.cn/large/9e5389bbly1fn0551sjmrj20v91vokcx.jpg,,,2018-01-01,微博 weibo.com,6934,677,2666,,
4191168944634666,FCfIGjrGG,#2018年来啦#不念过往，不畏将来。转发这条分割线，跟2017说再见！ ,https://wx2.sinaimg.cn/large/9e5389bbly1fn09eapfobj20p00no46o.jpg,,,2018-01-01,微博 weibo.com,18063,3370,13480,2018年来啦,
4191163894410028,FCfAxivfu,#2018年来啦#【分享一组看到落泪的漫画 2018，把日子过成自己喜欢的样子！为幸福而奋斗！】 ,https://wx1.sinaimg.cn/large/9e5389bbly1fn0d4ysr3xj20qo6fwqv5.jpg,,,2017-12-31,微博 weibo.com,10764,613,2578,2018年来啦,
4191158860873380,FCfsq3FcM,【#2017年手机中最舍不得删的照片#】回忆是一帧帧照片，有欢笑，有泪水，有甜蜜……回首那些已逝的岁月，仿佛还在昨天，时光我们留不住，唯一留在我们心里的是那最美丽的回忆。新的一年，给自己加油，你还有什么话想留给2017吗？央视新闻的秒拍视频 ,,"http://miaopai.video.weibocdn.com/pWiEyBMqlx07h0YD25TW010402010bmo0E013?Expires=1590676691&ssig=2MzlZQ60Tn&KID=unistore,video",,2017-12-31,微博 weibo.com,2200,256,457,2017年手机中最舍不得删的照片,
4191153828133865,FCfkiy7Zn,【向2018出发，为你的幸福奋斗[加油]】#2018年来啦#，此刻的你，是在为逝去的时光而意兴阑珊，还是心中已有了新的目标与方向。别犹豫，出发吧！愿新年的阳光照亮你的梦想，愿你的奋斗助你抵达幸福的远方→向2018出发，为你的幸福奋斗 ,https://wx3.sinaimg.cn/large/9e5389bbly1fn0cbhmo5hj20u00gvwfr.jpg,,,2017-12-31,微博 weibo.com,1888,140,578,2018年来啦,
4191148736342472,FCfc5qBXW,滚滚：我就想这样迎接2018年的到来……你呢？准备怎么迎接2018年？央视新闻的秒拍视频 ,,"http://miaopai.video.weibocdn.com/3ur0Qrfdlx07gZjRsBWg01040200fXJr0E013?Expires=1590676691&ssig=NoMPqEfd%2Ft&KID=unistore,video",,2017-12-31,专业版微博,2949,678,465,,
